$I_D$ $f_T$
1.000000000000000e-009	1.270720e+007
1.258930000000000e-009	1.598270e+007
1.584890000000000e-009	2.009555e+007
1.995260000000000e-009	2.525806e+007
2.511890000000000e-009	3.173584e+007
3.162280000000000e-009	3.986117e+007
3.981070000000000e-009	5.004377e+007
5.011870000000000e-009	6.280584e+007
6.309570000000000e-009	7.877710e+007
7.943280000000000e-009	9.875294e+007
1.000000000000000e-008	1.237086e+008
1.258930000000000e-008	1.548460e+008
1.584890000000000e-008	1.936645e+008
1.995260000000000e-008	2.419636e+008
2.511890000000000e-008	3.019952e+008
3.162280000000000e-008	3.765737e+008
3.981070000000000e-008	4.689213e+008
5.011870000000000e-008	5.828409e+008
6.309570000000000e-008	7.230195e+008
7.943280000000000e-008	8.954678e+008
1.000000000000000e-007	1.105732e+009
1.258930000000000e-007	1.361915e+009
1.584890000000000e-007	1.671668e+009
1.995260000000000e-007	2.044796e+009
2.511890000000000e-007	2.490864e+009
3.162280000000000e-007	3.021343e+009
3.981070000000000e-007	3.650900e+009
5.011870000000000e-007	4.393393e+009
6.309570000000000e-007	5.266839e+009
7.943280000000000e-007	6.291439e+009
1.000000000000000e-006	7.493764e+009
1.258930000000000e-006	8.895082e+009
1.584890000000000e-006	1.051720e+010
1.995260000000000e-006	1.238939e+010
2.511890000000000e-006	1.451276e+010
3.162280000000000e-006	1.690052e+010
3.981070000000000e-006	1.952765e+010
5.011870000000000e-006	2.235630e+010
6.309570000000000e-006	2.532212e+010
7.943279999999999e-006	2.835306e+010
1.000000000000000e-005	3.134007e+010
1.258930000000000e-005	3.419401e+010
1.584890000000000e-005	3.683833e+010
1.995260000000000e-005	3.926449e+010
2.511890000000000e-005	4.150018e+010
3.162280000000000e-005	4.364153e+010
3.981070000000000e-005	4.574040e+010
5.011870000000000e-005	4.776942e+010
6.309570000000000e-005	4.960780e+010
7.943280000000000e-005	5.103287e+010
1.000000000000000e-004	5.181434e+010
1.258930000000000e-004	5.175473e+010
1.500000000000000e-004	5.102700e+010
