 V3         V_diff         
 5.60000000e-02 -8.08276327e-01 
 5.70000000e-02 -8.11933937e-01 
 5.80000000e-02 -8.15521926e-01 
 5.90000000e-02 -8.19042330e-01 
 6.00000000e-02 -8.22497043e-01 
 6.10000000e-02 -8.25887838e-01 
 6.20000000e-02 -8.29216373e-01 
 6.30000000e-02 -8.32484203e-01 
 6.40000000e-02 -8.35692785e-01 
 6.50000000e-02 -8.38843493e-01 
 6.60000000e-02 -8.41937618e-01 
 6.70000000e-02 -8.44976382e-01 
 6.80000000e-02 -8.47960934e-01 
 6.90000000e-02 -8.50892366e-01 
 7.00000000e-02 -8.53771711e-01 
 7.10000000e-02 -8.56599949e-01 
 7.20000000e-02 -8.59378013e-01 
 7.30000000e-02 -8.62106789e-01 
 7.40000000e-02 -8.64787124e-01 
 7.50000000e-02 -8.67419825e-01 
 7.60000000e-02 -8.70005667e-01 
 7.70000000e-02 -8.72545389e-01 
 7.80000000e-02 -8.75039701e-01 
 7.90000000e-02 -8.77489286e-01 
 8.00000000e-02 -8.79894801e-01 
 8.10000000e-02 -8.82256880e-01 
 8.20000000e-02 -8.84576135e-01 
 8.30000000e-02 -8.86853156e-01 
 8.40000000e-02 -8.89088518e-01 
 8.50000000e-02 -8.91282776e-01 
 8.60000000e-02 -8.93436472e-01 
 8.70000000e-02 -8.95550131e-01 
 8.80000000e-02 -8.97624267e-01 
 8.90000000e-02 -8.99659382e-01 
 9.00000000e-02 -9.01655966e-01 
 9.10000000e-02 -9.03614499e-01 
 9.20000000e-02 -9.05535453e-01 
 9.30000000e-02 -9.07419292e-01 
 9.40000000e-02 -9.09266471e-01 
 9.50000000e-02 -9.11077439e-01 
 9.60000000e-02 -9.12852640e-01 
 9.70000000e-02 -9.14592513e-01 
 9.80000000e-02 -9.16297489e-01 
 9.90000000e-02 -9.17967999e-01 
 1.00000000e-01 -9.19604468e-01 
