 V3         V_diff         
-1.00000000e-01  8.48954517e-01 
-9.90000000e-02  8.47684786e-01 
-9.80000000e-02  8.46401472e-01 
-9.70000000e-02  8.45114380e-01 
-9.60000000e-02  8.43819865e-01 
-9.50000000e-02  8.42517686e-01 
-9.40000000e-02  8.41207595e-01 
-9.30000000e-02  8.39889330e-01 
-9.20000000e-02  8.38562620e-01 
-9.10000000e-02  8.37227180e-01 
-9.00000000e-02  8.35882713e-01 
-8.90000000e-02  8.34528910e-01 
-8.80000000e-02  8.33165444e-01 
-8.70000000e-02  8.31791974e-01 
-8.60000000e-02  8.30408145e-01 
-8.50000000e-02  8.29013581e-01 
-8.40000000e-02  8.27607890e-01 
-8.30000000e-02  8.26190658e-01 
-8.20000000e-02  8.24761453e-01 
-8.10000000e-02  8.23319818e-01 
-8.00000000e-02  8.21865272e-01 
-7.90000000e-02  8.20397310e-01 
-7.80000000e-02  8.18915397e-01 
-7.70000000e-02  8.17418972e-01 
-7.60000000e-02  8.15907437e-01 
-7.50000000e-02  8.14380164e-01 
-7.40000000e-02  8.12836487e-01 
-7.30000000e-02  8.11275700e-01 
-7.20000000e-02  8.09697052e-01 
-7.10000000e-02  8.08099749e-01 
-7.00000000e-02  8.06482945e-01 
-6.90000000e-02  8.04845738e-01 
-6.80000000e-02  8.03187167e-01 
-6.70000000e-02  8.01506208e-01 
-6.60000000e-02  7.99801763e-01 
-6.50000000e-02  7.98072658e-01 
-6.40000000e-02  7.96317634e-01 
-6.30000000e-02  7.94535339e-01 
-6.20000000e-02  7.92724315e-01 
-6.10000000e-02  7.90882995e-01 
-6.00000000e-02  7.89009682e-01 
-5.90000000e-02  7.87102542e-01 
-5.80000000e-02  7.85159584e-01 
-5.70000000e-02  7.83178644e-01 
-5.60000000e-02  7.81157365e-01 
-5.50000000e-02  7.79093170e-01 
-5.40000000e-02  7.76983239e-01 
-5.30000000e-02  7.74824471e-01 
-5.20000000e-02  7.72613452e-01 
-5.10000000e-02  7.70346410e-01 
-5.00000000e-02  7.68019158e-01 
-4.90000000e-02  7.65627042e-01 
-4.80000000e-02  7.63164860e-01 
-4.70000000e-02  7.60626781e-01 
-4.60000000e-02  7.58006238e-01 
-4.50000000e-02  7.55295802e-01 
-4.40000000e-02  7.52487036e-01 
-4.30000000e-02  7.49570302e-01 
-4.20000000e-02  7.46534541e-01 
-4.10000000e-02  7.43366998e-01 
-4.00000000e-02  7.40052877e-01 
-3.90000000e-02  7.36574927e-01 
-3.80000000e-02  7.32912931e-01 
-3.70000000e-02  7.29043076e-01 
-3.60000000e-02  7.24937202e-01 
-3.50000000e-02  7.20561901e-01 
-3.40000000e-02  7.15877487e-01 
-3.30000000e-02  7.10836873e-01 
-3.20000000e-02  7.05384468e-01 
-3.10000000e-02  6.99455281e-01 
-3.00000000e-02  6.92974558e-01 
-2.90000000e-02  6.85858348e-01 
-2.80000000e-02  6.78015319e-01 
-2.70000000e-02  6.69349856e-01 
-2.60000000e-02  6.59765849e-01 
-2.50000000e-02  6.49170146e-01 
-2.40000000e-02  6.37474645e-01 
-2.30000000e-02  6.24596841e-01 
-2.20000000e-02  6.10459539e-01 
-2.10000000e-02  5.94990905e-01 
-2.00000000e-02  5.78125656e-01 
-1.90000000e-02  5.59807604e-01 
-1.80000000e-02  5.39993228e-01 
-1.70000000e-02  5.18655681e-01 
-1.60000000e-02  4.95788580e-01 
-1.50000000e-02  4.71409008e-01 
-1.40000000e-02  4.45559332e-01 
-1.30000000e-02  4.18307698e-01 
-1.20000000e-02  3.89747406e-01 
-1.10000000e-02  3.59995725e-01 
-1.00000000e-02  3.29192938e-01 
-9.00000000e-03  2.97501988e-01 
-8.00000000e-03  2.65107475e-01 
-7.00000000e-03  2.32210434e-01 
-6.00000000e-03  1.99014180e-01 
-5.00000000e-03  1.65699692e-01 
-4.00000000e-03  1.32398434e-01 
-3.00000000e-03  9.91789358e-02 
-2.00000000e-03  6.60552176e-02 
-1.00000000e-03  3.30073690e-02 
 7.63278329e-17 -3.29132828e-08 
 1.00000000e-03 -3.30074154e-02 
 2.00000000e-03 -6.60552145e-02 
 3.00000000e-03 -9.91789076e-02 
 4.00000000e-03 -1.32398546e-01 
 5.00000000e-03 -1.65700221e-01 
 6.00000000e-03 -1.99015187e-01 
 7.00000000e-03 -2.32211550e-01 
 8.00000000e-03 -2.65108242e-01 
 9.00000000e-03 -2.97502252e-01 
 1.00000000e-02 -3.29192818e-01 
 1.10000000e-02 -3.59995398e-01 
 1.20000000e-02 -3.89747001e-01 
 1.30000000e-02 -4.18307282e-01 
 1.40000000e-02 -4.45558944e-01 
 1.50000000e-02 -4.71408686e-01 
 1.60000000e-02 -4.95788367e-01 
 1.70000000e-02 -5.18655618e-01 
 1.80000000e-02 -5.39993345e-01 
 1.90000000e-02 -5.59807917e-01 
 2.00000000e-02 -5.78126165e-01 
 2.10000000e-02 -5.94991597e-01 
 2.20000000e-02 -6.10460399e-01 
 2.30000000e-02 -6.24597858e-01 
 2.40000000e-02 -6.37475821e-01 
 2.50000000e-02 -6.49171482e-01 
 2.60000000e-02 -6.59767332e-01 
 2.70000000e-02 -6.69351434e-01 
 2.80000000e-02 -6.78016901e-01 
 2.90000000e-02 -6.85859826e-01 
 3.00000000e-02 -6.92975850e-01 
 3.10000000e-02 -6.99456344e-01 
 3.20000000e-02 -7.05385303e-01 
 3.30000000e-02 -7.10837507e-01 
 3.40000000e-02 -7.15877957e-01 
 3.50000000e-02 -7.20562247e-01 
 3.60000000e-02 -7.24937455e-01 
 3.70000000e-02 -7.29043261e-01 
 3.80000000e-02 -7.32913067e-01 
 3.90000000e-02 -7.36575028e-01 
 4.00000000e-02 -7.40052952e-01 
 4.10000000e-02 -7.43367055e-01 
 4.20000000e-02 -7.46534585e-01 
 4.30000000e-02 -7.49570335e-01 
 4.40000000e-02 -7.52487062e-01 
 4.50000000e-02 -7.55295823e-01 
 4.60000000e-02 -7.58006254e-01 
 4.70000000e-02 -7.60626794e-01 
 4.80000000e-02 -7.63164871e-01 
 4.90000000e-02 -7.65627050e-01 
 5.00000000e-02 -7.68019165e-01 
 5.10000000e-02 -7.70346415e-01 
 5.20000000e-02 -7.72613457e-01 
 5.30000000e-02 -7.74824475e-01 
 5.40000000e-02 -7.76983242e-01 
 5.50000000e-02 -7.79093173e-01 
 5.60000000e-02 -7.81157367e-01 
 5.70000000e-02 -7.83178646e-01 
 5.80000000e-02 -7.85159586e-01 
 5.90000000e-02 -7.87102543e-01 
 6.00000000e-02 -7.89009683e-01 
 6.10000000e-02 -7.90882996e-01 
 6.20000000e-02 -7.92724316e-01 
 6.30000000e-02 -7.94535339e-01 
 6.40000000e-02 -7.96317635e-01 
 6.50000000e-02 -7.98072658e-01 
 6.60000000e-02 -7.99801763e-01 
