 V3         V_diff         
 6.70000000e-02 -8.01506208e-01 
 6.80000000e-02 -8.03187167e-01 
 6.90000000e-02 -8.04845738e-01 
 7.00000000e-02 -8.06482945e-01 
 7.10000000e-02 -8.08099750e-01 
 7.20000000e-02 -8.09697052e-01 
 7.30000000e-02 -8.11275700e-01 
 7.40000000e-02 -8.12836487e-01 
 7.50000000e-02 -8.14380164e-01 
 7.60000000e-02 -8.15907437e-01 
 7.70000000e-02 -8.17418972e-01 
 7.80000000e-02 -8.18915398e-01 
 7.90000000e-02 -8.20397310e-01 
 8.00000000e-02 -8.21865272e-01 
 8.10000000e-02 -8.23319818e-01 
 8.20000000e-02 -8.24761453e-01 
 8.30000000e-02 -8.26190658e-01 
 8.40000000e-02 -8.27607890e-01 
 8.50000000e-02 -8.29013581e-01 
 8.60000000e-02 -8.30408145e-01 
 8.70000000e-02 -8.31791974e-01 
 8.80000000e-02 -8.33165444e-01 
 8.90000000e-02 -8.34528910e-01 
 9.00000000e-02 -8.35882713e-01 
 9.10000000e-02 -8.37227180e-01 
 9.20000000e-02 -8.38562620e-01 
 9.30000000e-02 -8.39889330e-01 
 9.40000000e-02 -8.41207595e-01 
 9.50000000e-02 -8.42517686e-01 
 9.60000000e-02 -8.43819865e-01 
 9.70000000e-02 -8.45114380e-01 
 9.80000000e-02 -8.46401472e-01 
 9.90000000e-02 -8.47681368e-01 
 1.00000000e-01 -8.48954291e-01 
