 V3         V_out:Iss=5.00e-07        
 5.90000000e-02  5.43437407e+00 
 6.00000000e-02  5.48832173e+00 
 6.10000000e-02  5.54227185e+00 
 6.20000000e-02  5.59624739e+00 
 6.30000000e-02  5.65027022e+00 
 6.40000000e-02  5.70436113e+00 
 6.50000000e-02  5.75853996e+00 
 6.60000000e-02  5.81282563e+00 
 6.70000000e-02  5.86723618e+00 
 6.80000000e-02  5.92178886e+00 
 6.90000000e-02  5.97650015e+00 
 7.00000000e-02  6.03138579e+00 
 7.10000000e-02  6.08646088e+00 
 7.20000000e-02  6.14173983e+00 
 7.30000000e-02  6.19723648e+00 
 7.40000000e-02  6.25296407e+00 
 7.50000000e-02  6.30893529e+00 
 7.60000000e-02  6.36516231e+00 
 7.70000000e-02  6.42165682e+00 
 7.80000000e-02  6.47843000e+00 
 7.90000000e-02  6.53549261e+00 
 8.00000000e-02  6.59285496e+00 
 8.10000000e-02  6.65052693e+00 
 8.20000000e-02  6.70851802e+00 
 8.30000000e-02  6.76683735e+00 
 8.40000000e-02  6.82549364e+00 
 8.50000000e-02  6.88449529e+00 
 8.60000000e-02  6.94385033e+00 
 8.70000000e-02  7.00356647e+00 
 8.80000000e-02  7.06365109e+00 
 8.90000000e-02  7.12411126e+00 
 9.00000000e-02  7.18495375e+00 
 9.10000000e-02  7.24618505e+00 
 9.20000000e-02  7.30781133e+00 
 9.30000000e-02  7.36983852e+00 
 9.40000000e-02  7.43227225e+00 
 9.50000000e-02  7.49511791e+00 
 9.60000000e-02  7.55838062e+00 
 9.70000000e-02  7.62206525e+00 
 9.80000000e-02  7.68617643e+00 
 9.90000000e-02  7.75071855e+00 
 1.00000000e-01  7.81569577e+00 
 V3         V_out:Iss=2.53e-05        
-1.00000000e-01  4.23696047e-01 
-9.90000000e-02  4.25033381e-01 
-9.80000000e-02  4.26389510e-01 
-9.70000000e-02  4.27750737e-01 
-9.60000000e-02  4.29121995e-01 
-9.50000000e-02  4.30503574e-01 
-9.40000000e-02  4.31895776e-01 
-9.30000000e-02  4.33298918e-01 
-9.20000000e-02  4.34713328e-01 
-9.10000000e-02  4.36139349e-01 
-9.00000000e-02  4.37577338e-01 
-8.90000000e-02  4.39027671e-01 
-8.80000000e-02  4.40490737e-01 
-8.70000000e-02  4.41966947e-01 
