 V3         V_diff:Iss=5.00e-07       
 5.60000000e-02 -5.63190815e-01 
 5.70000000e-02 -5.65359752e-01 
 5.80000000e-02 -5.67506986e-01 
 5.90000000e-02 -5.69633558e-01 
 6.00000000e-02 -5.71740548e-01 
 6.10000000e-02 -5.73828775e-01 
 6.20000000e-02 -5.75899180e-01 
 6.30000000e-02 -5.77952547e-01 
 6.40000000e-02 -5.79989703e-01 
 6.50000000e-02 -5.82011370e-01 
 6.60000000e-02 -5.84018205e-01 
 6.70000000e-02 -5.86010855e-01 
 6.80000000e-02 -5.87990000e-01 
 6.90000000e-02 -5.89956187e-01 
 7.00000000e-02 -5.91909926e-01 
 7.10000000e-02 -5.93851833e-01 
 7.20000000e-02 -5.95782344e-01 
 7.30000000e-02 -5.97701976e-01 
 7.40000000e-02 -5.99611083e-01 
 7.50000000e-02 -6.01510218e-01 
 7.60000000e-02 -6.03399747e-01 
 7.70000000e-02 -6.05280022e-01 
 7.80000000e-02 -6.07151423e-01 
 7.90000000e-02 -6.09014294e-01 
 8.00000000e-02 -6.10868983e-01 
 8.10000000e-02 -6.12715833e-01 
 8.20000000e-02 -6.14555096e-01 
 8.30000000e-02 -6.16387086e-01 
 8.40000000e-02 -6.18212093e-01 
 8.50000000e-02 -6.20030356e-01 
 8.60000000e-02 -6.21842169e-01 
 8.70000000e-02 -6.23647736e-01 
 8.80000000e-02 -6.25447276e-01 
 8.90000000e-02 -6.27241044e-01 
 9.00000000e-02 -6.29029232e-01 
 9.10000000e-02 -6.30812080e-01 
 9.20000000e-02 -6.32589736e-01 
 9.30000000e-02 -6.34362371e-01 
 9.40000000e-02 -6.36130213e-01 
 9.50000000e-02 -6.37893418e-01 
 9.60000000e-02 -6.39652113e-01 
 9.70000000e-02 -6.41406525e-01 
 9.80000000e-02 -6.43156730e-01 
 9.90000000e-02 -6.44902900e-01 
 1.00000000e-01 -6.46645210e-01 
 V3         V_diff:Iss=2.53e-05       
-1.00000000e-01  9.54222042e-01 
-9.90000000e-02  9.51646550e-01 
-9.80000000e-02  9.49037030e-01 
-9.70000000e-02  9.46418309e-01 
-9.60000000e-02  9.43781483e-01 
-9.50000000e-02  9.41126042e-01 
-9.40000000e-02  9.38451469e-01 
-9.30000000e-02  9.35757225e-01 
-9.20000000e-02  9.33042744e-01 
-9.10000000e-02  9.30307440e-01 
-9.00000000e-02  9.27550711e-01 
-8.90000000e-02  9.24771916e-01 
-8.80000000e-02  9.21970389e-01 
-8.70000000e-02  9.19145443e-01 
-8.60000000e-02  9.16296362e-01 
-8.50000000e-02  9.13422383e-01 
-8.40000000e-02  9.10522723e-01 
-8.30000000e-02  9.07596563e-01 
-8.20000000e-02  9.04643038e-01 
-8.10000000e-02  9.01661245e-01 
-8.00000000e-02  8.98650248e-01 
-7.90000000e-02  8.95609049e-01 
-7.80000000e-02  8.92536618e-01 
-7.70000000e-02  8.89431856e-01 
-7.60000000e-02  8.86293621e-01 
-7.50000000e-02  8.83120714e-01 
-7.40000000e-02  8.79911862e-01 
-7.30000000e-02  8.76665740e-01 
-7.20000000e-02  8.73380930e-01 
-7.10000000e-02  8.70055956e-01 
-7.00000000e-02  8.66689246e-01 
-6.90000000e-02  8.63279148e-01 
-6.80000000e-02  8.59823910e-01 
-6.70000000e-02  8.56321677e-01 
-6.60000000e-02  8.52770476e-01 
-6.50000000e-02  8.49168226e-01 
-6.40000000e-02  8.45512707e-01 
-6.30000000e-02  8.41801551e-01 
-6.20000000e-02  8.38032252e-01 
-6.10000000e-02  8.34202124e-01 
-6.00000000e-02  8.30308307e-01 
-5.90000000e-02  8.26347737e-01 
-5.80000000e-02  8.22317138e-01 
-5.70000000e-02  8.18212996e-01 
-5.60000000e-02  8.14031531e-01 
-5.50000000e-02  8.09768695e-01 
-5.40000000e-02  8.05420104e-01 
-5.30000000e-02  8.00981053e-01 
-5.20000000e-02  7.96446433e-01 
-5.10000000e-02  7.91810730e-01 
-5.00000000e-02  7.87067965e-01 
-4.90000000e-02  7.82211634e-01 
-4.80000000e-02  7.77234671e-01 
-4.70000000e-02  7.72129369e-01 
-4.60000000e-02  7.66887314e-01 
-4.50000000e-02  7.61499294e-01 
-4.40000000e-02  7.55955233e-01 
-4.30000000e-02  7.50244065e-01 
-4.20000000e-02  7.44353629e-01 
-4.10000000e-02  7.38270561e-01 
-4.00000000e-02  7.31980122e-01 
-3.90000000e-02  7.25466094e-01 
-3.80000000e-02  7.18710583e-01 
-3.70000000e-02  7.11693861e-01 
-3.60000000e-02  7.04394228e-01 
-3.50000000e-02  6.96787805e-01 
-3.40000000e-02  6.88848421e-01 
-3.30000000e-02  6.80547462e-01 
-3.20000000e-02  6.71853803e-01 
-3.10000000e-02  6.62733786e-01 
-3.00000000e-02  6.53151297e-01 
-2.90000000e-02  6.43067861e-01 
-2.80000000e-02  6.32442995e-01 
-2.70000000e-02  6.21234497e-01 
-2.60000000e-02  6.09398916e-01 
-2.50000000e-02  5.96892093e-01 
-2.40000000e-02  5.83669736e-01 
-2.30000000e-02  5.69687933e-01 
-2.20000000e-02  5.54903825e-01 
-2.10000000e-02  5.39276115e-01 
-2.00000000e-02  5.22765689e-01 
-1.90000000e-02  5.05336271e-01 
-1.80000000e-02  4.86955182e-01 
-1.70000000e-02  4.67594048e-01 
-1.60000000e-02  4.47229953e-01 
-1.50000000e-02  4.25846139e-01 
