 V7         I_VP:IQ=1.00e-07          I_VN:IQ=1.00e-07         
-4.40000000e-01  3.26376206e-05  1.79189892e-11 
-4.30000000e-01  3.15049366e-05  2.35602209e-11 
-4.20000000e-01  3.03849604e-05  3.10654425e-11 
-4.10000000e-01  2.92780566e-05  4.10473799e-11 
-4.00000000e-01  2.81845977e-05  5.43186533e-11 
-3.90000000e-01  2.71049649e-05  7.19557803e-11 
-3.80000000e-01  2.60395486e-05  9.53837468e-11 
-3.70000000e-01  2.49887485e-05  1.26486862e-10 
-3.60000000e-01  2.39529747e-05  1.67753419e-10 
-3.50000000e-01  2.29326482e-05  2.22465291e-10 
-3.40000000e-01  2.19282012e-05  2.94943237e-10 
-3.30000000e-01  2.09400785e-05  3.90866082e-10 
-3.20000000e-01  1.99687378e-05  5.17681448e-10 
-3.10000000e-01  1.90146507e-05  6.85133965e-10 
-3.00000000e-01  1.80783034e-05  9.05938808e-10 
-2.90000000e-01  1.71601981e-05  1.19663762e-09 
-2.80000000e-01  1.62608532e-05  1.57867557e-09 
-2.70000000e-01  1.53808046e-05  2.07974923e-09 
-2.60000000e-01  1.45206064e-05  2.73547430e-09 
-2.50000000e-01  1.36808312e-05  3.59143343e-09 
-2.40000000e-01  1.28620710e-05  4.70565744e-09 
-2.30000000e-01  1.20649368e-05  6.15159979e-09 
-2.20000000e-01  1.12900583e-05  8.02165351e-09 
-2.10000000e-01  1.05380832e-05  1.04312495e-08 
-2.00000000e-01  9.80967483e-06  1.35235661e-08 
-1.90000000e-01  9.10551005e-06  1.74748577e-08 
-1.80000000e-01  8.42627473e-06  2.25003988e-08 
-1.70000000e-01  7.77265840e-06  2.88610313e-08 
-1.60000000e-01  7.14534686e-06  3.68703014e-08 
-1.50000000e-01  6.54501279e-06  4.69021961e-08 
-1.40000000e-01  5.97230393e-06  5.93995178e-08 
-1.30000000e-01  5.42782876e-06  7.48829915e-08 
-1.20000000e-01  4.91213955e-06  9.39612440e-08 
-1.10000000e-01  4.42571276e-06  1.17341831e-07 
-1.00000000e-01  3.96892717e-06  1.45843478e-07 
-9.00000000e-02  3.54204028e-06  1.80409609e-07 
-8.00000000e-02  3.14516384e-06  2.22123084e-07 
-7.00000000e-02  2.77823985e-06  2.72221735e-07 
-6.00000000e-02  2.44101843e-06  3.32113954e-07 
-5.00000000e-02  2.13303977e-06  4.03393071e-07 
-4.00000000e-02  1.85362173e-06  4.87848795e-07 
-3.00000000e-02  1.60185533e-06  5.87473514e-07 
-2.00000000e-02  1.37660943e-06  7.04460933e-07 
-1.00000000e-02  1.17654554e-06  8.41194461e-07 
 3.08780779e-16  1.00014284e-06  1.00022295e-06 
 1.00000000e-02  8.45732306e-07  1.18422214e-06 
 2.00000000e-02  7.11537958e-07  1.39594115e-06 
 3.00000000e-02  5.95722533e-07  1.63813491e-06 
 4.00000000e-02  4.96434190e-07  1.91348524e-06 
 5.00000000e-02  4.11851051e-07  2.22451478e-06 
 6.00000000e-02  3.40220628e-07  2.57349951e-06 
 7.00000000e-02  2.79891989e-07  2.96238661e-06 
 8.00000000e-02  2.29339408e-07  3.39272391e-06 
 9.00000000e-02  1.87177200e-07  3.86560680e-06 
 1.00000000e-01  1.52166321e-07  4.38164649e-06 
 1.10000000e-01  1.23213868e-07  4.94096140e-06 
 1.20000000e-01  9.93670375e-08  5.54319129e-06 
 1.30000000e-01  7.98031867e-08  6.18753148e-06 
 1.40000000e-01  6.38175651e-08  6.87278309e-06 
 1.50000000e-01  5.08100627e-08  7.59741437e-06 
 1.60000000e-01  4.02720135e-08  8.35962795e-06 
 1.70000000e-01  3.17737814e-08  9.15742918e-06 
 1.80000000e-01  2.49535368e-08  9.98869176e-06 
 1.90000000e-01  1.95074087e-08  1.08512175e-05 
 2.00000000e-01  1.51809911e-08  1.17427888e-05 
 2.10000000e-01  1.17620852e-08  1.26612115e-05 
 2.20000000e-01  9.07450078e-09  1.36043507e-05 
 2.30000000e-01  6.97273452e-09  1.45701563e-05 
 2.40000000e-01  5.33736491e-09  1.55566822e-05 
 2.50000000e-01  4.07104069e-09  1.65620987e-05 
 2.60000000e-01  3.09497058e-09  1.75846991e-05 
 2.70000000e-01  2.34585365e-09  1.86229021e-05 
 2.80000000e-01  1.77320816e-09  1.96752507e-05 
 2.90000000e-01  1.33706404e-09  2.07404089e-05 
 3.00000000e-01  1.00599142e-09  2.18171561e-05 
 3.10000000e-01  7.55436237e-10  2.29043807e-05 
 3.20000000e-01  5.66330950e-10  2.40010727e-05 
 3.30000000e-01  4.23950676e-10  2.51063161e-05 
 3.40000000e-01  3.16981854e-10  2.62192815e-05 
 3.50000000e-01  2.36770794e-10  2.73392184e-05 
 3.60000000e-01  1.76725658e-10  2.84654484e-05 
 3.70000000e-01  1.31842838e-10  2.95973580e-05 
 3.80000000e-01  9.83373622e-11  3.07343926e-05 
 3.90000000e-01  7.33535139e-11  3.18760507e-05 
 4.00000000e-01  5.47425678e-11  3.30218785e-05 
 4.10000000e-01  4.08904817e-11  3.41714651e-05 
 4.20000000e-01  3.05884447e-11  3.53244381e-05 
 4.30000000e-01  2.29316806e-11  3.64804595e-05 
 4.40000000e-01  1.72441190e-11  3.76392225e-05 
 4.50000000e-01  1.30211637e-11  3.88004480e-05 
 4.60000000e-01  9.88722616e-12  3.99638818e-05 
 4.70000000e-01  7.56219711e-12  4.11292920e-05 
 4.80000000e-01  5.83790973e-12  4.22964670e-05 
 4.90000000e-01  4.55943240e-12  4.34652132e-05 
 5.00000000e-01  3.61185705e-12  4.46353533e-05 
 V7         I_VP:IQ=1.00e-05          I_VN:IQ=1.00e-05         
-5.00000000e-01  6.58673443e-05  5.19750364e-10 
-4.90000000e-01  6.45104797e-05  6.87864123e-10 
-4.80000000e-01  6.31588364e-05  9.09536265e-10 
-4.70000000e-01  6.18126429e-05  1.20136986e-09 
-4.60000000e-01  6.04721311e-05  1.58488900e-09 
-4.50000000e-01  5.91375368e-05  2.08788988e-09 
-4.40000000e-01  5.78090995e-05  2.74611518e-09 
-4.30000000e-01  5.64870626e-05  3.60530548e-09 
-4.20000000e-01  5.51716732e-05  4.72368897e-09 
-4.10000000e-01  5.38631829e-05  6.17496218e-09 
-4.00000000e-01  5.25618473e-05  8.05181543e-09 
-3.90000000e-01  5.12679260e-05  1.04700396e-08 
-3.80000000e-01  4.99816834e-05  1.35732442e-08 
-3.70000000e-01  4.87033881e-05  1.75381953e-08 
-3.60000000e-01  4.74333134e-05  2.25807676e-08 
-3.50000000e-01  4.61717372e-05  2.89625006e-08 
-3.40000000e-01  4.49189426e-05  3.69977439e-08 
-3.30000000e-01  4.36752172e-05  4.70614023e-08 
-3.20000000e-01  4.24408539e-05  5.95973200e-08 
-3.10000000e-01  4.12161512e-05  7.51273990e-08 
-3.00000000e-01  4.00014124e-05  9.42615922e-08 
-2.90000000e-01  3.87969470e-05  1.17708946e-07 
-2.80000000e-01  3.76030698e-05  1.46289861e-07 
-2.70000000e-01  3.64201020e-05  1.80949638e-07 
-2.60000000e-01  3.52483707e-05  2.22773227e-07 
-2.50000000e-01  3.40882097e-05  2.73000778e-07 
-2.40000000e-01  3.29399592e-05  3.33043214e-07 
-2.30000000e-01  3.18039666e-05  4.04496587e-07 
-2.20000000e-01  3.06805866e-05  4.89153456e-07 
-2.10000000e-01  2.95701816e-05  5.89009100e-07 
-2.00000000e-01  2.84731220e-05  7.06260031e-07 
-1.90000000e-01  2.73897866e-05  8.43292210e-07 
-1.80000000e-01  2.63205632e-05  1.00265660e-06 
-1.70000000e-01  2.52658490e-05  1.18703040e-06 
-1.60000000e-01  2.42260515e-05  1.39916329e-06 
-1.50000000e-01  2.32015886e-05  1.64180976e-06 
-1.40000000e-01  2.21928895e-05  1.91764999e-06 
-1.30000000e-01  2.12003955e-05  2.22920369e-06 
-1.20000000e-01  2.02245609e-05  2.57874275e-06 
-1.10000000e-01  1.92658534e-05  2.96820912e-06 
-1.00000000e-01  1.83247554e-05  3.39914453e-06 
-9.00000000e-02  1.74017647e-05  3.87263766e-06 
-8.00000000e-02  1.64973952e-05  4.38929271e-06 
